Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,0.547236871843,-1.04020231838,0.547236871843,nan,-1.04020231838,0.547236871843,nan,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843,0.547236871843,-1.04020231838,nan,nan,nan,nan,-1.04020231838,nan,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,nan,0.547236871843,2.13467606207,0.547236871843,0.547236871843,2.13467606207,-1.04020231838
NC_004741,0.547236871843,0,0.547236871843,-1.04020231838,nan,0.547236871843,-1.04020231838,nan,0.547236871843,0.547236871843,-1.04020231838,-1.04020231838,-1.04020231838,0.547236871843,nan,nan,nan,nan,0.547236871843,nan,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,nan,-1.04020231838,0.547236871843,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843
NC_003198,-1.04020231838,0.547236871843,0,0.547236871843,nan,-1.04020231838,0.547236871843,nan,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843,0.547236871843,-1.04020231838,nan,nan,nan,nan,-1.04020231838,nan,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,nan,0.547236871843,2.13467606207,0.547236871843,0.547236871843,2.13467606207,-1.04020231838
NC_003143,0.547236871843,-1.04020231838,0.547236871843,0,nan,0.547236871843,-1.04020231838,nan,0.547236871843,0.547236871843,-1.04020231838,-1.04020231838,-1.04020231838,0.547236871843,nan,nan,nan,nan,0.547236871843,nan,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,nan,-1.04020231838,0.547236871843,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,-1.04020231838,0.547236871843,-1.04020231838,0.547236871843,nan,0,0.547236871843,nan,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843,0.547236871843,-1.04020231838,nan,nan,nan,nan,-1.04020231838,nan,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,nan,0.547236871843,2.13467606207,0.547236871843,0.547236871843,2.13467606207,-1.04020231838
NC_000907,0.547236871843,-1.04020231838,0.547236871843,-1.04020231838,nan,0.547236871843,0,nan,0.547236871843,0.547236871843,-1.04020231838,-1.04020231838,-1.04020231838,0.547236871843,nan,nan,nan,nan,0.547236871843,nan,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,0.547236871843,nan,-1.04020231838,0.547236871843,-1.04020231838,-1.04020231838,0.547236871843,0.547236871843
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,-1.04020231838,0.547236871843,-1.04020231838,0.547236871843,nan,-1.04020231838,0.547236871843,nan,0,-1.04020231838,0.547236871843,0.547236871843,0.547236871843,-1.04020231838,nan,nan,nan,nan,-1.04020231838,nan,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,nan,0.547236871843,2.13467606207,0.547236871843,0.547236871843,2.13467606207,-1.04020231838
NC_004603,-1.04020231838,0.547236871843,-1.04020231838,0.547236871843,nan,-1.04020231838,0.547236871843,nan,-1.04020231838,0,0.547236871843,0.547236871843,0.547236871843,-1.04020231838,nan,nan,nan,nan,-1.04020231838,nan,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,-1.04020231838,nan,0.547236871843,2.13467606207,0.547236871843,0.547236871843,2.13467606207,-1.04020231838
